time,log10_antibodies_mean,log10_antibodies_median,log10_antibodies_95ci_lower,log10_antibodies_95ci_upper,susceptibility_mean,susceptibility_median,susceptibility_95ci_lower,susceptibility_95ci_upper
98,3.1411549576020783,3.151158443630585,2.4098836255431384,3.8018278592280597,0.24567126281041304,0.19753314454780252,0.03171123515877177,0.7101613357956074
99,3.1365858453466053,3.146787705236007,2.4052468067948642,3.7982567950222075,0.24801690222401945,0.19968969887307497,0.03205292272286294,0.7131110309782083
100,3.1320719543621336,3.1426454231692054,2.3976214971138794,3.7951461759752108,0.2503535500422947,0.20174979484184025,0.03235345291120654,0.7179226088763723
101,3.127389915554875,3.138326058362245,2.3897018588510033,3.7914685396587053,0.2527730995194158,0.20391483059015078,0.03271228252237643,0.7228677073584276
102,3.1226352744974832,3.133898988518932,2.382250992349093,3.78871216713922,0.2552317245685191,0.2061517398064825,0.03298373716592283,0.7274709610430431
103,3.118000501814772,3.1295925159418205,2.3744498537183536,3.784577855540881,0.257650596036629,0.20834509002161172,0.03339498280659688,0.7322390540998561
104,3.1133693551499433,3.1249789567238846,2.365752169377716,3.7810604152098057,0.2600771027627739,0.210713870854197,0.0337487707409944,0.7374923028968579
105,3.108656553796243,3.120745471633238,2.3587851309547005,3.777312414388664,0.2625451360739516,0.21290482383524945,0.03412973035189045,0.7416520939312742
106,3.1039414937651264,3.1163270753139223,2.3531889737129794,3.775156871793513,0.2650245217396172,0.2152091472064891,0.034350668303705416,0.744962102225219
107,3.0992910254727457,3.1121961907100513,2.3470111079878873,3.7724898499970014,0.2674875417792191,0.2173798491680999,0.03462597455662668,0.7485836320339044
108,3.0945970627279396,3.107258029782632,2.340277407068127,3.768509465224876,0.2699763151840006,0.21999545760178746,0.035040815345183,0.7524919224866565
109,3.0897843606514366,3.102922918297854,2.3308906227727975,3.7650577610119593,0.27252550242238555,0.222310199072214,0.03540442725599626,0.7578716471974134
110,3.0850052841334574,3.0984512966636,2.3228838816599433,3.7620771684732026,0.27507084401612936,0.22471600434454708,0.03572133510319837,0.7623971330399937
111,3.0803674360203344,3.094061355122974,2.3133975205907764,3.759793502310296,0.2775616922829957,0.22709579525492105,0.03596598877136092,0.7676831103674409
112,3.075658376117867,3.089820086269335,2.305389118132557,3.757247495670915,0.2800867219722656,0.22941184010628196,0.03624064952607608,0.772081278117953
113,3.0707776671363973,3.085111725778141,2.297038865374177,3.753971408232267,0.2826969158625711,0.23200232140959165,0.03659704225106942,0.7766043157906894
114,3.0659464317838436,3.0810569306848863,2.2883821456339435,3.749465099743858,0.28529829306449594,0.2342495259209999,0.0370927822604262,0.7812255069020233
115,3.0612696611032764,3.0770095664929613,2.2795331155383463,3.746782323210765,0.28783701415123153,0.2365076334139058,0.03739096712180519,0.7858777871511948
116,3.056509929726288,3.0724398741161973,2.2710201432542787,3.743326569741127,0.29041454574503023,0.23907516281646807,0.03777846969611121,0.7902850655233595
117,3.0516195340505794,3.0673477154502846,2.263362899691599,3.7395222659644465,0.2930590790660671,0.24195868436561357,0.038209543036436526,0.7941920729718505
118,3.0467880404178826,3.0624947202436434,2.255575688475714,3.736402458790035,0.29569110341887483,0.24472874343679754,0.03856659580766219,0.7981098206652353
119,3.0420067813475495,3.0582405246312434,2.247226660702619,3.735250844619401,0.2983038792508907,0.24717455281817308,0.0386991599150254,0.8022480472048749
120,3.037177126630263,3.053584269744395,2.2388009710672643,3.7339328259045645,0.3009404638309509,0.24987028596898478,0.03885140978776016,0.8063591357728265
121,3.0323031755098304,3.048967402913087,2.230831131413078,3.732182174640825,0.3036058976341139,0.2525625030996083,0.03905456984710931,0.8101877370769994
122,3.027492471738616,3.043594148569051,2.2222542980077975,3.730148589865573,0.30624935025783406,0.25571988062134665,0.03929184765403603,0.8142428701468603
123,3.0226830748077598,3.0389461747641335,2.213389306951341,3.7276594986971983,0.30889412936553823,0.2584718901966568,0.03958416598923203,0.8183636321519632
